Department_name,Lunch_Start_time,Department_Start_time
Department of Allied and Healthcare Sciences,13:10,9:00
Department of Applied Sciences,12:20,9:00
Department of Civil Engineering,13:10,9:00
Department of Computer Applications,12:20,9:00
Department of Computer Science and Engineering,13:10,9:00
Department of Electrical Engineering,12:20,9:00
Department of Fashion Design,13:10,9:00
Department of Hotel Management and Catering Technology,12:20,9:00
Department of Management Studies,13:10,9:00
Department of Mechanical Engineering,12:20,9:00
Department of Pharmaceutical Sciences,13:10,9:00
