Department_name,Semester,section,group,Fixed_room,Course_name,Program_name,Free_day,Class_Count,Day,Section_Start_time
Computer Science & Engineering,4th,CS-1,G1,,B.TECH,CSE,Monday,40,,9:00
Computer Science & Engineering,4th,CS-1,G2,,B.TECH,CSE,Monday,40,,9:00
Computer Science & Engineering,4th,CS-2,G1,,B.TECH,CSE,Tuesday,40,,9:00
Computer Science & Engineering,4th,CS-2,G2,,B.TECH,CSE,Tuesday,40,,9:00
Computer Science & Engineering,4th,CS-3,G1,,B.TECH,CSE,Wednesday,40,,9:00
Computer Science & Engineering,4th,CS-3,G2,,B.TECH,CSE,Wednesday,40,,9:00
Computer Science & Engineering,4th,COE-1,G1,,B.TECH,COE,Thursday,40,,9:00
Computer Science & Engineering,4th,COE-1,G2,,B.TECH,COE,Thursday,40,,9:00
Computer Science & Engineering,6th,CS-1,G1,,B.TECH,CSE,Monday,40,,9:00
Computer Science & Engineering,6th,CS-1,G2,,B.TECH,CSE,Monday,40,,9:00
Computer Science & Engineering,6th,CS-2,G1,,B.TECH,CSE,Tuesday,40,,9:00
Computer Science & Engineering,6th,CS-2,G2,,B.TECH,CSE,Tuesday,40,,9:00
Computer Science & Engineering,6th,CS-3,G1,,B.TECH,CSE,Friday,40,,9:00
Computer Science & Engineering,6th,CS-3,G2,,B.TECH,CSE,Friday,40,,9:00
Computer Science & Engineering,6th,COE-1,G1,,B.TECH,COE,Thursday,40,,9:00
Computer Science & Engineering,6th,COE-1,G2,,B.TECH,COE,Thursday,40,,9:00
Computer Science & Engineering,8th,CS-1,G1,,B.TECH,CSE,Monday,40,,9:00
Computer Science & Engineering,8th,CS-1,G2,,B.TECH,CSE,Monday,40,,9:00
Computer Science & Engineering,8th,CS-2,G1,,B.TECH,CSE,Tuesday,40,,9:00
Computer Science & Engineering,8th,CS-2,G2,,B.TECH,CSE,Tuesday,40,,9:00
Computer Science & Engineering,8th,CS-3,G1,,B.TECH,CSE,Wednesday,40,,9:00
Computer Science & Engineering,8th,CS-3,G2,,B.TECH,CSE,Wednesday,40,,9:00
Computer Science & Engineering,8th,COE-1,G1,,B.TECH,COE,Thursday,40,,9:00
Computer Science & Engineering,8th,COE-1,G2,,B.TECH,COE,Thursday,40,,9:00
Computer Science & Engineering,2nd,CS-1,G1,,M.TECH,CSE,Friday,40,,9:00
