Department,Semester,section,group,Fixed_room,Course,Program Name,Free_day,Class_Count,Day,Section_Start_time
Computer Science & Engineering,4th,CS-1,G1,MB-301,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,4th,CS-1,G2,MB-301,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,4th,CS-2,G1,MB-302,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,4th,CS-2,G2,MB-302,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,4th,CS-3,G1,MB-303,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,4th,CS-3,G2,MB-303,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,4th,COE,G1,MB-301,B.TECH,COE,,40,,9:00
Computer Science & Engineering,4th,COE,G2,MB-301,B.TECH,COE,,40,,9:00
Computer Science & Engineering,6th,CS-1,G1,MB-402,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,6th,CS-1,G2,MB-402,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,6th,CS-2,G1,MB-403,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,6th,CS-2,G2,MB-403,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,6th,CS-3,G1,MB-404,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,6th,CS-3,G2,MB-404,B.TECH,CSE,,40,,9:00
Computer Science & Engineering,6th,COE,G1,MB-304,B.TECH,COE,,40,,9:00
Computer Science & Engineering,6th,COE,G2,MB-304,B.TECH,COE,,40,,9:00
Computer Science & Engineering,8th,CS-1,G1,MB-403,B.TECH,CSE,Monday,40,,9:00
Computer Science & Engineering,8th,CS-1,G2,MB-403,B.TECH,CSE,Monday,40,,9:00
Computer Science & Engineering,2nd,CS-1,G1,MB-304,M.TECH,CSE,,40,,9:00
